,0
0,2.9697860387192474
1,2.6295902356721323
2,2.8396459127952665
3,2.89524314105183
4,2.8993220143316765
5,2.931643872622911
6,2.951789642765512
7,2.9857477827637613
8,2.9985995927091023
9,2.9815554534538435
10,3.008486171638035
11,3.0172368131420857
12,3.071029561464787
13,3.070738985389088
14,3.022841134238016
15,3.0708367365032823
16,3.0715334187682304
17,3.0712589034254996
18,3.0712807646906297
19,3.071153431197459
20,3.071026097704288
21,3.057665219634467
22,3.044304341564647
23,3.0309434634948267
24,3.0175825854250067
25,3.035147487929536
26,3.0527123904340665
27,3.0702772929385977
28,3.068777739136769
29,3.0175881264645623
30,3.0283809546265976
31,3.0391737827886334
32,3.049966610950669
33,3.060759439112705
34,3.071552267274741
35,3.0714923641641803
36,3.0714324610536194
37,3.070384216073856
38,3.0634957510459904
39,3.056607286018125
40,3.0711772619800257
41,3.071329576922422
42,3.069537600821128
43,2.991690824791203
44,3.0022860595407193
45,2.997304904156496
46,2.973190554192082
47,3.0107274638587964
48,3.007727842082218
49,2.9893895724211736
50,2.9918756884866755
51,2.977058014619709
52,2.968172839010935
53,2.9691692389517974
54,2.984012402618418
55,2.9624544447534635
56,2.9812571599163045
57,2.98719404220464
58,2.9894826927011287
59,3.017565346178505
60,3.0153831629898074
61,2.9831774453978626
62,2.9958971986460257
63,2.9920735005997026
64,2.9882498025533795
65,2.9793397294430926
66,2.9704296563328056
67,2.9615195832225183
68,2.9886834639063906
69,3.015847344590262
70,3.0162761539735223
71,3.016704963356783
72,2.9650023844807536
73,3.0158466805932873
74,3.0163079212094464
75,3.0167691618256054
76,3.0169609907717634
77,2.98597545889772
78,2.97431718755065
79,2.96265891620358
80,2.962020104957453
81,2.9684493072465585
82,2.9748785095356642
83,2.9813077118247704
84,2.987736914113876
85,2.9478866849135854
86,2.9080364557132943
87,2.960423054475061
88,2.962479388563822
89,2.9781349922015434
